num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62645,hillma01,1985,1,CHA,AL,40,75,5,10,2,0,0,4,0,0,12,9,0,0,8,0,2,2191408.90139,2432913.2252
62646,hoffmgl01,1985,1,BOS,AL,96,279,40,77,17,2,6,34,2,2,25,40,0,5,9,3,6,3670609.90982,4257598.1441
62651,honeyri01,1985,1,LAN,NL,32,38,5,5,1,0,0,1,0,0,3,6,0,0,8,0,1,7724716.37739,9184247.42512
62654,hortori01,1985,1,SLN,NL,49,16,1,1,0,0,0,0,0,0,3,5,0,0,2,0,0,1205274.89576,3345255.68465
62663,hoytla01,1985,1,SDN,NL,31,64,4,4,0,0,0,2,0,0,1,21,0,0,12,0,1,10683118.3943,12164566.126
62664,hrbekke01,1985,1,MIN,AL,158,593,78,165,31,2,21,93,1,1,67,87,12,2,0,4,12,6135944.92388,12894440.0935
62665,hubbagl01,1985,1,ATL,NL,142,439,51,102,21,0,5,39,4,3,56,54,2,4,7,6,11,4985455.25065,6143105.89362
62667,hudsoch02,1985,1,PHI,NL,38,57,2,8,0,0,0,3,0,0,1,18,0,1,3,0,1,2109231.06758,3375667.09996
62677,iorgga01,1985,1,TOR,AL,131,288,33,90,22,1,7,37,3,6,21,26,3,0,2,1,6,2812311.74246,3730471.00016
62680,jacksre01,1985,1,CAL,AL,143,460,64,116,27,0,27,85,1,2,78,138,12,1,0,2,16,11602348.6861,13416859.5504
62682,jacobbr01,1985,1,CLE,AL,161,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17,1533986.23097,5321997.68012
62690,johnsho01,1985,1,NYN,NL,126,389,38,94,18,4,11,46,6,4,34,78,10,0,1,4,6,1260060.1183,2767438.79366
62699,jonesly01,1985,1,KCA,AL,110,152,12,32,7,0,0,9,0,1,8,15,0,3,4,2,6,2218801.51265,2250444.73331
62701,jonesru01,1985,1,CAL,AL,125,389,66,90,17,2,21,67,7,4,57,82,2,0,8,2,5,4273247.3577,6812157.03055
62705,kearnbo01,1985,1,SEA,AL,108,305,24,74,14,1,6,27,1,1,11,59,1,4,5,1,7,2005139.14477,3649369.8378
62708,kennete02,1985,1,SDN,NL,143,532,54,139,27,1,10,74,0,0,31,102,10,0,0,2,19,9532628.72103,11191400.8359
62716,kingmda01,1985,1,OAK,AL,158,592,66,141,16,0,30,91,3,2,62,114,6,2,2,8,17,11915785.9013,8880133.27197
62720,kittlro01,1985,1,CHA,AL,116,379,51,87,12,0,26,58,1,4,31,92,1,5,0,2,12,3287113.35208,4865826.4504
62722,kneppbo01,1985,1,HOU,NL,38,78,5,11,1,0,1,5,0,0,2,38,0,0,8,0,0,9313487.83089,12164566.126
62724,kniceal01,1985,2,PHI,NL,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,657422.670416,973165.290079
62725,knighra01,1985,1,NYN,NL,90,271,22,59,12,0,6,36,1,1,13,32,1,1,0,5,17,6135944.92388,7846145.15126
62732,krukomi01,1985,1,SFN,NL,28,55,2,12,4,0,1,3,1,1,1,15,0,2,8,0,0,6902938.03937,9062601.76386
62737,lacyle01,1985,1,BAL,AL,121,492,69,144,22,4,9,48,10,3,39,95,0,2,1,6,10,7943857.26753,8819310.44134
62740,lahtije01,1985,1,SLN,NL,52,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2739261.12673,5474054.7567
62743,landrke01,1985,1,LAN,NL,147,482,70,129,26,2,12,50,15,5,33,37,2,1,3,8,9,5889411.42248,7754910.90532
62744,landrti01,1985,1,SLN,NL,85,161,21,45,8,2,4,21,1,4,19,30,1,0,1,0,3,2287283.04082,2878951.37134
62747,lansfca01,1985,1,OAK,AL,98,401,51,111,18,2,13,46,2,3,18,27,1,4,4,5,6,9861340.05624,14597479.3512
62752,laudnti01,1985,1,MIN,AL,72,164,16,39,5,0,7,19,0,1,12,45,0,1,4,1,2,1588771.45351,1885507.74953
62757,lawva01,1985,1,MON,NL,147,519,75,138,30,6,10,52,6,5,86,96,0,2,8,6,11,4108891.6901,5474054.7567
62770,lemonch01,1985,1,DET,AL,145,517,69,137,28,4,18,68,0,2,45,93,3,10,0,3,5,7341219.81965,8497813.1232
