num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
25190,krukomi01,1985,1,SFN,NL,8,11,28,28,6,1,0,584,176,73,19,49,150,0.238,3.38,10,10,3,3,804,0,80,10,3,13,6902938.03937,9062601.76386
25193,lahtije01,1985,1,SLN,NL,5,2,52,0,0,0,19,205,63,14,3,26,41,0.251,1.84,10,1,0,0,279,31,15,2,0,16,2739261.12673,5474054.7567
25195,langfri01,1985,1,OAK,AL,3,5,23,3,0,0,0,177,60,23,8,15,21,0.261,3.51,2,2,0,0,247,7,24,2,0,4,6665531.75604,6082283.06299
25196,langsma01,1985,1,SEA,AL,7,14,24,24,2,0,0,380,122,77,22,91,72,0.255,5.47,2,3,2,3,577,0,85,3,2,13,1753127.12111,2949907.28555
25201,lavelga01,1985,1,TOR,AL,5,7,69,0,0,0,8,218,54,25,5,36,50,0.214,3.1,5,0,0,1,298,19,30,8,2,9,5204596.14079,6487764.54567
25206,leffecr01,1985,1,SDN,NL,7,6,60,0,0,0,2,250,75,31,7,30,48,0.244,3.35,4,2,0,0,345,24,34,7,1,3,2958402.01687,4744180.78914
25207,leibrch01,1985,1,KCA,AL,17,9,33,33,8,3,0,713,223,71,17,68,108,0.248,2.69,3,4,2,3,983,0,86,8,5,21,2465335.01406,9366715.91701
25208,leonade01,1985,1,KCA,AL,0,0,2,0,0,0,0,6,1,0,0,0,1,0.143,0.0,0,0,0,0,7,1,0,0,0,0,9548286.33763,10745362.6898
25218,lynched01,1985,1,NYN,NL,10,8,31,29,6,1,0,573,188,73,19,27,65,0.256,3.44,1,0,1,0,777,1,76,9,5,7,3615824.68729,6447220.04677
25224,mahleri01,1985,1,ATL,NL,17,15,39,39,6,1,0,800,272,103,24,79,107,0.268,3.48,8,3,2,1,1110,0,116,10,5,32,4464995.63658,8363139.21162
25225,martide01,1985,1,BAL,AL,13,11,33,31,3,1,0,540,203,103,29,63,68,0.288,5.15,3,4,9,1,789,1,110,0,11,14,6135944.92388,6817728.40184
25226,martiti01,1985,1,BAL,AL,3,3,49,0,0,0,4,210,70,42,8,37,47,0.261,5.4,8,5,0,0,312,20,48,3,4,8,4821099.58305,5925092.53951
25231,mccaski01,1985,1,CAL,AL,12,12,30,29,6,1,0,569,189,99,23,64,102,0.258,4.7,1,5,4,0,807,0,105,2,5,22,657422.670416,1727368.38989
